"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,SemanticScholarCitations,CrossRefCitations,Marker
D5EQUV3Z,journalArticle,2012,"Domingos, P.",A few useful things to know about machine learning,Communications of the ACM,,,10.1145/2347736.2347755,,,2012,2022-10-31 12:34:46,2022-10-31 12:43:05,,78–87,,10,55,,,,,,,,,,english,,,,,,,2314 citations (Semantic Scholar/DOI) [2022-10-31] 1440 citations (Crossref) [2022-10-31] Citation Key: domingos2012a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314,1440,[26]
YQWAC37M,journalArticle,1993,"Elofson, G.S.; Konsynski, B.R.",Performing organizational learning with machine apprentices,Decision Support Systems,,,10.1016/0167-9236(93)90033-y,,,1993,2022-10-31 12:34:46,2022-10-31 12:41:30,,109–119,,2,10,,,,,,,,,,english,,,,,,,18 citations (Semantic Scholar/DOI) [2022-10-31] 11 citations (Crossref) [2022-10-31] Citation Key: elofson1993a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,[27]
XSB7EP6E,journalArticle,2010,"Fang, C.; Lee, J.; Schilling, M.A.",Balancing exploration and exploitation through structural design: The isolation of subgroups and organizational learning,Organization Science,,,10/d8xkjw,,,2010,2022-10-31 12:34:46,2022-10-31 12:36:17,,625–642,,3,21,,,,,,,,,,english,,,,,,,300 citations (Crossref) [2022-10-31] Citation Key: fang2010a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,300,[28]
HU7USSVH,journalArticle,2003,"Feldman, M.S.; Pentland, B.T.",Reconceptualizing organizational routines as a source of flexibility and change,Administrative Science Quarterly,,,10/b94hst,,,2003,2022-10-31 12:34:46,2022-10-31 12:36:16,,94–118,,1,48,,,,,,,,,,english,,,,,,,2063 citations (Crossref) [2022-10-31] Citation Key: feldman2003a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,2063,[29]
8B2V6W94,book,2016,"Goodfellow, I.; Bengio, Y.; Courville, A.; Bengio, Y.",,,,,,,,2016,2022-10-31 12:34:46,2022-10-31 12:34:46,,,,,,,,,,,,,Deep Learning,"Cambridge, MA",english,,,,,,,Citation Key: goodfellow2016a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[30]
ZFFB2ELQ,journalArticle,2003,"Grant, R.M.",Strategic planning in a turbulent environment: Evidence from the oil majors,Strategic Management Journal,,,10.1002/smj.314,,,2003,2022-10-31 12:34:46,2022-10-31 12:41:12,,491–517,,6,24,,,,,,,,,,english,,,,,,,900 citations (Semantic Scholar/DOI) [2022-10-31] 481 citations (Crossref) [2022-10-31] Citation Key: grant2003a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,481,[31]
L2MSKZ66,journalArticle,2020,"Grønsund, T.; Aanestad, M.",Augmenting the algorithm: Emerging human-in-the-loop work configurations,The Journal of Strategic Information Systems,,,10.1016/j.jsis.2020.101614,,,2020,2022-10-31 12:34:46,2022-10-31 12:42:46,,1–16,,2,29,,,,,,,,,,english,,,,,,,68 citations (Semantic Scholar/DOI) [2022-10-31] 57 citations (Crossref) [2022-10-31] Citation Key: gr2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,57,[32]
CB8S94D4,journalArticle,2018,"Guidotti, R.; Monreale, A.; Ruggieri, S.; Turini, F.; Giannotti, F.; Pedreschi, D.",A survey of methods for explaining black box models,ACM Computing Surveys,,,10/gfgt9s,,,2018,2022-10-31 12:34:46,2022-10-31 12:36:10,,1–42,,5,51,,,,,,,,,,english,,,,,,,1076 citations (Crossref) [2022-10-31] Citation Key: guidotti2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,1076,[33]
3CXWJ8HP,journalArticle,2004,"Hatch, N.W.; Dyer, J.H.",Human capital and learning as a source of sustainable competitive advantage,Strategic Management Journal,,,10.1002/smj.421,,,2004,2022-10-31 12:34:46,2022-10-31 12:42:04,,1155–1178,,12,25,,,,,,,,,,english,,,,,,,1255 citations (Semantic Scholar/DOI) [2022-10-31] 753 citations (Crossref) [2022-10-31] Citation Key: hatch2004a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255,753,[34]
F6J95DCY,journalArticle,2015,"Iyengar, K.; Sweeney, J.R.; Montealegre, R.","Information technology use as a learning mechanism: The impact of IT use on knowledge transfer effectiveness, absorptive capacity, and franchisee performance",MIS Quarterly,,,10.25300/misq/2015/39.3.05,,,2015,2022-10-31 12:34:46,2022-10-31 12:41:53,,615–641,,3,39,,,,,,,,,,english,,,,,,,127 citations (Semantic Scholar/DOI) [2022-10-31] 91 citations (Crossref) [2022-10-31] Citation Key: iyengar2015a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,91,[35]
DUK3XCLU,journalArticle,2020,"Jiménez-Luna, J.; Grisoni, F.; Schneider, G.",Drug discovery with explainable artificial intelligence,Nature Machine Intelligence,,,10/ghhnjz,,,2020,2022-10-31 12:34:46,2022-10-31 12:36:09,,573–584,,10,2,,,,,,,,,,english,,,,,,,156 citations (Crossref) [2022-10-31] Citation Key: jim2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,156,[36]
P6U35AU2,journalArticle,2015,"Jordan, M.I.; Mitchell, T.M.","Machine learning: Trends, perspectives, and prospects","Science (New York, N.Y.)",,,10/f7kcgq,,,2015,2022-10-31 12:34:46,2022-10-31 12:36:08,,255–260,,6245,349,,Science,,,,,,,,english,,,,,,,2830 citations (Crossref) [2022-10-31] Citation Key: jordan2015a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,2830,[37]
2Z9MWV3B,journalArticle,2007,"Kane, G.C.; Alavi, M.",Information Technology and Organizational Learning: An Investigation of Exploration and Exploitation Processes,Organization Science,,,10/bz4hrz,,,2007,2022-10-31 12:34:46,2022-10-31 12:36:17,,796–812,,5,18,,,,,,,,,,french,,,,,,,222 citations (Crossref) [2022-10-31] Citation Key: kane2007a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,222,[38]
VAL3Y32S,journalArticle,1996,"Kogut, B.; Zander, U.","What firms do? Coordination, identity, and learning",Organization Science,,,10/bmx92p,,,1996,2022-10-31 12:34:46,2022-10-31 12:36:05,,502–518,,5,7,,,,,,,,,,english,,,,,,,1806 citations (Crossref) [2022-10-31] Citation Key: kogut1996a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,1806,[39]
PEFN8HZB,journalArticle,2017,"Korotcov, A.; Tkachenko, V.; Russo, D.P.; Ekins, S.",Comparison of deep learning with multiple machine learning methods and metrics using diverse drug discovery data sets,Molecular Pharmaceutics,,,10/gcj4p2,,,2017,2022-10-31 12:34:46,2022-10-31 12:36:09,,4462–4475,,12,14,,,,,,,,,,english,,,,,,,177 citations (Crossref) [2022-10-31] Citation Key: korotcov2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,177,[40]
YCLCIZ2L,bookSection,1998,"Kretkowski, P.D.",The 15 percent solution,WIRED,,,,https://www.wired.com/1998/01/the-15-percent-solution/,,,1998,2022-10-31 12:34:46,2022-10-31 12:34:46,,,,,,,,,,,,,,,english,,,,,,,Citation Key: kretkowski1998a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[41]
DLZZ8E35,conferencePaper,2020,"Lan, Z.; Chen, M.; Goodman, S.; Gimpel, K.; Sharma, P.; Soricut, R.",Albert: A lite bert for self-supervised learning of language representations,"Proceedings of the 8th international conference on learning representations, virtual conference",,,,,,2020,2022-10-31 12:34:46,2022-10-31 12:36:22,,1–17,,,,,,,,,,,,,english,,,,,,,Citation Key: lan2020a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[42]
RX8G285T,journalArticle,2010,"Lavie, D.; Stettner, U.; Tushman, M.L.",Exploration and Exploitation within and across Organizations,The Academy of Management Annals,,,10/ggd6k2,,,2010,2022-10-31 12:34:46,2022-10-31 12:36:09,,109–155,,1,4,,,,,,,,,,english,,,,,,,494 citations (Crossref) [2022-10-31] Citation Key: lavie2010a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,494,[43]
GGT7QGHQ,journalArticle,2019,"Lee, S.",Learning-by-moving: Can reconfiguring spatial proximity between organizational members promote IndividualLevel exploration?,Organization Science,,,10/gfzcgg,,,2019,2022-10-31 12:34:46,2022-10-31 12:36:08,,467–488,,3,30,,,,,,,,,,english,,,,,,,20 citations (Crossref) [2022-10-31] Citation Key: lee2019a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,20,[44]
QPBRR32V,journalArticle,2015,"Letham, B.; Rudin, C.; McCormick, T.H.; Madigan, D.",Interpretable classifiers using rules and bayesian analysis: Building a better stroke prediction model,Annals of Applied Statistics,,,10/gfx4tf,,,2015,2022-10-31 12:34:46,2022-10-31 12:36:08,,1350–1371,,3,9,,,,,,,,,,english,,,,,,,279 citations (Crossref) [2022-10-31] Citation Key: letham2015a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,279,[45]
JYTSB7H8,journalArticle,1988,"Levitt, B.; March, J.G.",Organizational learning,Annual Review of Sociology,,,10.1146/annurev.so.14.080188.001535,,,1988,2022-10-31 12:34:46,2022-10-31 12:36:12,,319–338,,1,14,,,,,,,,,,english,,,,,,,4396 citations (Crossref) [2022-10-31] Citation Key: levitt1988a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,4396,[46]
J2ZHDUT4,journalArticle,1981,"Levinthal, D.; March, J.G.",A model of adaptive organizational search,Journal of Economic Behavior and Organization,,,10.1016/0167-2681(81)90012-3,,,1981,2022-10-31 12:34:46,2022-10-31 12:42:58,,307–333,,4,2,,,,,,,,,,english,,,,,,,1175 citations (Semantic Scholar/DOI) [2022-10-31] 758 citations (Crossref) [2022-10-31] Citation Key: levinthal1981a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,758,[47]
EEL44F97,journalArticle,1993,"Levinthal, D.A.; March, J.G.",The myopia of learning,Strategic Management Journal,,,10.1002/smj.4250141009,,,1993,2022-10-31 12:34:46,2022-10-31 12:40:57,,95–112,,,14:S2,,,,,,,,,,english,,,,,,,6958 citations (Semantic Scholar/DOI) [2022-10-31] 4261 citations (Crossref) [2022-10-31] Citation Key: levinthal1993a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6958,4261,[48]
3VMG3NVR,journalArticle,2021,"Levinthal, D.A.; Rerup, C.",The plural of goal: Learning in a world of ambiguity,Organization Science,,,10/gk574x,,,2021,2022-10-31 12:34:46,2022-10-31 12:36:06,,527–543,,3,32,,,,,,,,,,english,,,,,,,19 citations (Crossref) [2022-10-31] Citation Key: levinthal2021a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,19,[49]
ZSBYVJ57,journalArticle,2019,"Logg, J.M.",Using algorithms to understand the biases in your organization,Harvard Business Review,,,,https://hbr.org/2019/08/using-algorithms-to-understand-the-biases-in-yourorganization,,,2019,2022-10-31 12:34:46,2022-10-31 12:36:17,,,,,,,,,,,,,,,english,,,,,,,Citation Key: logg2019a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[50]
XKNSR4GD,journalArticle,1987,"Lounamaa, P.H.; March, J.G.",Adaptive Coordination of a Learning Team,Management Science,,,10/dvk9hc,,,1987,2022-10-31 12:34:46,2022-10-31 12:36:10,,107–123,,1,33,,,,,,,,,,french,,,,,,,169 citations (Crossref) [2022-10-31] Citation Key: lounamaa1987a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,169,[51]
R7JG7EB7,conferencePaper,2017,"Lundberg, S.M.; Lee, S.I.",A unified approach to interpreting model predictions,Proceedings of advances in neural information processing systems,,,,,,2017,2022-10-31 12:34:46,2022-10-31 12:36:22,,4768–4777,,,,,,,,,,,,"Long Beach, CA",english,,,,,,,Citation Key: lundberg2017a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[52]
KWENNPQH,journalArticle,1991,"March, J.G.",Exploration and Exploitation in Organizational Learning,Organization Science,,,10.1287/orsc.2.1.71,,,1991,2022-10-31 12:34:47,2022-10-31 12:42:20,,71–87,,1,2,,,,,,,,,,french,,,,,,,9999 citations (Semantic Scholar/DOI) [2022-10-31] 11605 citations (Crossref) [2022-10-31] Citation Key: march1991a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,11605,[53]
