"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,SemanticScholarCitations,CrossRefCitations,Marker
PEBZ4ET7,journalArticle,1996,"Barbe, K.",Dubbing in the translation classroom,Perspectives: Studies in Translatology,,,10.1080/0907676X.1996.9961291),https://doi.org/10.1080/0907676X.1996.9961291),,1996,2022-11-01 05:24:47,2022-11-01 05:24:53,,255–274,,2,4,,,,,,,,,,,,,,,,,Citation Key: barbe1996a,,,,,⚠️ Invalid DOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[13]
JULQNJ4D,bookSection,2018,"Barman, N.; Martini, M.G.; Zadtootaghaj, S.; Moller, S.; Lee, S.",A comparative quality assessment study for gaming and non-gaming videos,In,,,,,,2018-05,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: barman2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[14]
L9F9ARA6,document,,,,,,,,https://ieeexplore,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,IEEE,,,,,,,,,Citation Key: unknown-b Pages: 1–6 Place: Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[15]
LCB3DXYR,document,,,,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-c DOI: 10.1109/QoMEX.2018.8463403 tex.citation-number: ieee.org/document/8463403/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[16]
K3LYN33S,document,2010,"Barsam, R.; Mohanan, D.",Looking at movies: An introduction to film,,,,,,,2010,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: barsam2010a Edition: 3 rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[17]
U2Z6WUNG,bookSection,2017,"Baumann, T.",Large-scale speaker ranking from crowdsourced pairwise listener ratings,Interspeech 2017,,,,,,2017-08,2022-11-01 05:24:47,2022-11-01 05:24:47,,2262–2266,,,,,,,,,,,,,,,,,,,,Citation Key: baumann2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[18]
CX9SJCMX,document,2019,"Bear, H.; Harvey, R.",Alternative visual units for an optimized,,,,,,,2019-09,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: bear2019a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[19]
4UP7UW3N,journalArticle,,,Phoneme-based lipreading system,Applied Sciences,,,,http://arxiv.org/abs/1909.07147,,,2022-11-01 05:24:47,2022-11-01 05:26:41,,3870,,18,9,,,,,,,,,,,,,,,,,7 citations (Semantic Scholar/arXiv) [2022-11-01] Citation Key: unknown-d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,No Citations Found,[20]
CUY8KWYY,journalArticle,2017,"Bear, H.L.; Harvey, R.","Phoneme-to-viseme mappings: the good, the bad, and the ugly",Speech Communication,,,10/gctgp6,http://arxiv.org/abs/1805.02934,,2017-12,2022-11-01 05:24:47,2022-11-01 05:26:37,,40–67,,,95,,,,,,,,,,,,,,,,,38 citations (Semantic Scholar/arXiv) [2022-11-01] 22 citations (Crossref) [2022-11-01] Citation Key: bear2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,22,[21]
GEHNM6U2,document,2000,"Borell, J.",Subtitling or dubbing? An investigation of the effects from reading subtitles on understanding audiovisual material,,,,,,,2000,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: borell2000a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[22]
F3FLC779,journalArticle,2005,"Bucaria, C.",The perception of humour in dubbing vs. subtitling: The case of six feet under,ESP Across Cultures,,,,,,2005,2022-11-01 05:24:47,2022-11-01 05:25:31,,34–46,,,2,,,,,,,,,,,,,,,,,Citation Key: bucaria2005a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[23]
SRWPQ384,journalArticle,2008,"Bucaria, C.; N., J.; Paré, M.; Munhall, K.G.",Acceptance of the norm or suspension of disbelief?: The case of formulaic language in dubbese,Between text and image: Updating research in screen translation,,,10/gq5xcj,https://,,2008,2022-11-01 05:24:47,2022-11-01 05:25:57,,149–163,,,1242,,,,,,,,,,,,,,,,,8 citations (Crossref) [2022-11-01] Citation Key: bucaria2008a Place: Amsterdam Publisher: Buchan,,,,,⚠️ Invalid DOI,"Chiaro, D.; Heiss, C.; Bucaria, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,8,[24]
VPW62H3E,journalArticle,2008,"Caffrey, C.",Viewer perception of visual nonverbal cues in subtitled tv anime,European Journal of English Studies,,,10.1080/13825570802151439),,,2008,2022-11-01 05:24:47,2022-11-01 05:24:54,,163–178,,2,12,,,,,,,,,,,,,,,,,Citation Key: caffrey2008a,,,,,⚠️ Invalid DOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[25]
KXC3DVJB,book,2012,"Cappelletta, L.; Harte, N.",,,,,,,,2012,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,PHONEME-TO-VISEME MAPPING FOR VISUAL,,,,,,,,,Citation Key: cappelletta2012a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[26]
FG3ZRXD2,conferencePaper,,,SPEECH RECOGNITION,Proceedings of the 1st international conference on pattern recognition applications and methods,,,,http://www.scitepress.org/DigitalLibrary/Link.aspx?doi=10,,,2022-11-01 05:24:47,2022-11-01 05:25:33,,322–329,,,,,,,,,,,SciTePress - Science and and Technology Publications,"Vilamoura, Algarve, Portugal",,,,,,,,Citation Key: unknown-e,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[27]
4PDDMRV5,document,,,,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-f DOI: 10.5220/0003731903220329 tex.citation-number: 5220/0003731903220329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[28]
VTGH7ED6,bookSection,2008,"Cavaliere, F.",Measuring the perception of the screen translation of un posto al sole: A cross-cultural study,Between text and image: Updating research in screen translation,,,,,,2008,2022-11-01 05:24:47,2022-11-01 05:24:47,,165–180,,,,,,,,,,,John,Amsterdam,,,,,,,,Citation Key: cavaliere2008a,,,,,,"Chiaro, D.; Heiss, C.; Bucaria, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[29]
ZHIAG62X,document,2007,"Chaume, F.",Dubbing practices in Europe: localisation beats globalisation,,,,,,,2007,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chaume2007a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[30]
2GZBUTH2,document,,"Antverpiensia, Linguistica",New series - themes in translation studies,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: antverpiensia-a DOI: 10.52034/lanstts.v6i.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[31]
NJW833PP,document,2012,"Chaume, F.",Audiovisual translation: Dubbing,,,,,,,2012,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chaume2012a DOI: 10.4324/9781003161660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[32]
88IZJHAP,document,2013,"Chaume, F.",Research paths in audiovisual translation: The case of,,,,,,,2013-01,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chaume2013a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[33]
7IRV2XUG,bookSection,2016,"Chaume, F.","Audiovisual translation trends: Growing diversity, choice, and enhanced localization","Media across borders. Localizing TV, film and video games",,,,,,2016-04,2022-11-01 05:24:47,2022-11-01 05:24:47,,68–84,,,,,,,,,,,Routledge,,,,,,,,,Citation Key: chaume2016a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[34]
EVPAGIHT,journalArticle,2018,"Chaume, F.",Is audiovisual translation putting the concept of translation up against the ropes?,The Journal of Specialised Translation,,,,,,2018-07,2022-11-01 05:24:47,2022-11-01 05:25:33,,84–104,,,,,,,,,,,,,,,,,,,,Citation Key: chaume2018a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[35]
9LJC2VZ6,journalArticle,2018,"Chaume, F.",An overview of audiovisual translation: Four methodological turns in a mature discipline,Journal of Audiovisual Translation,,,10/gq5xch,,,2018-11,2022-11-01 05:24:47,2022-11-01 05:25:56,,40–63,,,1,,,,,,,,,,,,,,,,,20 citations (Crossref) [2022-11-01] Citation Key: chaume2018b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,20,[36]
6HH4H6VU,bookSection,2020,"Chaume, F.",The language of dubbing: a matter of compromise,Audiovisual translation: dubbing,,,,,,2020-11,2022-11-01 05:24:47,2022-11-01 05:24:47,,81–99,,,,,,,,,,,,Routledge,,,,,,,,Citation Key: chaume2020a DOI: 10.4324/9781003161660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[37]
XT4X3WP9,bookSection,2020,"Chaume, F.",Research in dubbing,Audiovisual translation: dubbing,,,,,,2020-11,2022-11-01 05:24:47,2022-11-01 05:24:47,,158–179,,,,,,,,,,,,Routledge,,,,,,,,Citation Key: chaume2020b DOI: 10.4324/9781003161660-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[38]
2UIKP6YU,document,,"Chaume, F.",,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chaume-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[39]
T3CTBBDG,document,2021,,,,,,,,,2021-01,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown2021a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[40]
HLFP7ITJ,document,,,Textual constraints and the translator’s creativity in dubbing,,,,,https://benjamins.com/catalog/,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[41]
4HCPAHEI,bookSection,2004,"Chaume Varela, F.",Synchronization in dubbing: A translational approach,Benjamins translation library,,,,https://benjamins,,2004,2022-11-01 05:24:47,2022-11-01 05:24:47,,35–52,,,56,,,,,,,,John Benjamins Publishing Company,Amsterdam,,,,,,,,Citation Key: chaume2004a,,,,,,"Orero, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[42]
A5NQIU7Y,document,,,,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-h DOI: 10.1075/btl.56.07cha tex.citation-number: com/catalog/btl.56.07cha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[43]
UDIT5JG8,journalArticle,2020,"Cheng, S.; Zeng, H.; Chen, J.; Hou, J.; Zhu, J.; Ma, K.-K.",Screen content video quality assessment: Subjective and objective study,IEEE Transactions on Image,,,10/gq5xb8,,,2020,2022-11-01 05:24:47,2022-11-01 05:25:41,,,,,,,,,,,,,,,,,,,,,,11 citations (Crossref) [2022-11-01] Citation Key: cheng2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,11,[44]
UI93FDFG,journalArticle,,,,Processing,,,,https://ieeexplore,,,2022-11-01 05:24:47,2022-11-01 05:25:36,,8636–8651,,,29,,,,,,,,,,,,,,,,,Citation Key: unknown-i,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[45]
IDCKZ3FI,document,,,,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-j DOI: 10.1109/TIP.2020.3018256 tex.citation-number: ieee.org/document/9178481/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[46]
KWPLL4WH,journalArticle,2004,"Chiaro, D.",Investigating the perception of translated verbally expressed humour on italian tv,ESP Across Cultures,,,,,,2004,2022-11-01 05:24:47,2022-11-01 05:25:34,,35–52,,,1,,,,,,,,,,,,,,,,,Citation Key: chiaro2004a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[47]
3B8WE4JR,bookSection,2007,"Chiaro, D.",The effect of translation on humour response: The case of dubbed comedy in italy,"Doubts and directions in translation studies: Selected contributions from the EST congress, Lisbon 2004",,,,,,2007,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chiaro2007a,,,,,,"Gambier, Y.; Shlesinger, M.; Stolze, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[48]
CVKQJLW5,document,2014,"Chiaro, D.","The eyes and ears of the beholder? translation, humor, and perception",,,,,,,2014,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chiaro2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[49]
M7UR8APD,document,2012,"Chmiel, A.; Mazur, I.",Ad reception research: Some methodological considerations,,,,,,,2012,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: chmiel2012a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[50]
W2Y2BVU5,document,2020,Cisco,Cisco annual internet report - cisco annual internet report,,,,,,,2020-03,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: cisco2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[51]
5DXQWATN,document,2018,,White paper,,,,,https://www.cisco.com/,,2018,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[52]
4BCGB7QG,document,1989,"Delabastita, D.",Translation and mass-communication: Film and t.v. translation as evidence of cultural dynamics,,,,,,,1989,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: delabastita1989a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[53]
CPH4SKJX,document,,,,,,,,https://doi.org/10.1075/babel.35.4.02del),,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-k DOI: 10.1075/babel.35.4.02del),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[54]
K4TDUBLM,journalArticle,2012,"Denton, J.; Ciampi, D.",A new development in audiovisual translation studies:focus on target audience perception,Lingue e letterature d’Oriente e d’Occidente,,,,,,2012,2022-11-01 05:24:47,2022-11-01 05:25:34,,399–422,,,1,,,,,,,,,,,,,,,,,Citation Key: denton2012a Type: (LEA -,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[55]
KXBTGZWW,journalArticle,2016,"Duanmu, Z.; Zeng, K.; Ma, K.; Rehman, A.; Wang, Z.",A quality-ofExperience index for streaming video,IEEE Journal of Selected Topics in Signal,,,,,,2016-09,2022-11-01 05:24:47,2022-11-01 05:25:34,,,,,,,,,,,,,,,,,,,,,,Citation Key: duanmu2016a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[56]
7JFZIASZ,bookSection,1985,"Processing, P.P.; d’Ydewalle, G.; Muylle, P.; Rensbergen, J.",Attention shifts in partially redundant information situations,Eye movements and human information processing,,,,,,1985,2022-11-01 05:24:47,2022-11-01 05:24:47,,154–166,,,,,,,,,,,Elsevier,Amsterdam,,,,,,,,Citation Key: processing1985a DOI: 10.1109/JSTSP.2016.2608329,,,,,,"Groner, R.; McConkie, G.; Menz, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[57]
7CZIVLKB,document,1987,"d’Ydewalle, G.; Rensbergen, J.; Pollet, J.",READING A MESSAGE,,,,,,,1987-01,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: d1987a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[58]
IZDLCIPS,bookSection,,,LANGUAGE: THE CASE OF SUBTITLING,Eye movements from physiology to cognition,,,,https://www.sciencedirect.com/science/,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,313–321,,,,,,,,,,,Elsevier,Amsterdam,,,,,,,,Citation Key: o-a,,,,,,"O’regan, J.K.; Levy-schoen, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[59]
PBVI9VUZ,document,,,,,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-l DOI: 10.1016/B978-0-444-70113-8.50047 tex.citation-number: article/pii/B9780444701138500473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[60]
4NBCBFTX,bookSection,2016,"Fernández Costales, A.",Analyzing players’ perceptions on the translation of video games: Assessing the tension between the local and the global concerning language use,"Media across borders localizing TV, film, and video games",,,,,,2016,2022-11-01 05:24:47,2022-11-01 05:24:47,,183–201,,,,,,,,,,,Routledge,Abingdon,,,,,,,,Citation Key: fern2016a,,,,,,"Esser, A.; Bernal-Merino, M.Ã.Ą.; Smith, I.R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[61]
