"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,SemanticScholarCitations,CrossRefCitations,Marker
376L7V8X,journalArticle,2008,"Espeland, W.N.; Stevens, M.L.",A Sociology of Quantification,European Journal of Sociology/Archives Européennes de Sociologie,,,10.1017/s0003975609000150,,,2008,2022-10-31 13:48:15,2022-10-31 13:54:42,,401–436,,3,49,,,,,,,,,,french,,,,,,,585 citations (Semantic Scholar/DOI) [2022-10-31] 472 citations (Crossref) [2022-10-31] Citation Key: espeland2008a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,472,[28]
ZL46UL6Y,journalArticle,2018,"Faraj, S.; Pachidi, S.; Sayegh, K.",Working and Organizing in the Age of the Learning Algorithm,Information and Organization,,,10.1016/j.infoandorg.2018.02.005,,,2018,2022-10-31 13:48:15,2022-10-31 13:50:24,,62–70,,1,28,,,,,,,,,,estonian,,,,,,,225 citations (Semantic Scholar/DOI) [2022-10-31] 176 citations (Crossref) [2022-10-31] Citation Key: faraj2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,176,[29]
46RU282H,journalArticle,2004,"Feldman, S.P.","The culture of objectivity: Quantification, uncertainty, and the evaluation of risk at NASA",Human Relations,,,10.1177/0018726704044952,,,2004,2022-10-31 13:48:15,2022-10-31 13:51:21,,691–718,,6,57,,,,,,,,,,english,,,,,,,84 citations (Semantic Scholar/DOI) [2022-10-31] 41 citations (Crossref) [2022-10-31] Citation Key: feldman2004a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,41,[30]
SD2A9EVI,journalArticle,2018,"Felten, E.W.; Raj, M.; Seamans, R.",A method to link advances in artificial intelligence to occupational abilities,AEA Papers and Proceedings,,,10.1257/pandp.20181021,,,2018,2022-10-31 13:48:15,2022-10-31 13:54:46,,54–57,,,108,,,,,,,,,,english,,,,,,,68 citations (Semantic Scholar/DOI) [2022-10-31] 32 citations (Crossref) [2022-10-31] Citation Key: felten2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,[31]
72WA72MI,journalArticle,2020,"Fernández-Loría, C.; Provost, F.; Han, X.",Explaining data-driven decisions made by AI systems: The counterfactual approach,ArXiv:2001.07417,,,,,,2020,2022-10-31 13:48:15,2022-10-31 13:49:12,,,,,,,,,,,,,,,english,,,,,,,Citation Key: fern2020a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[32]
27DSP798,journalArticle,1993,"Forsythe, D.E.",Engineering knowledge: The construction of knowledge in artificial intelligence,Social Studies of Science,,,10.1177/0306312793023003002,,,1993,2022-10-31 13:48:15,2022-10-31 13:53:48,,445–477,,3,23,,,,,,,,,,english,,,,,,,126 citations (Semantic Scholar/DOI) [2022-10-31] 57 citations (Crossref) [2022-10-31] Citation Key: forsythe1993a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,57,[33]
GTDVCVVJ,journalArticle,2017,"Frey, C.B.; Osborne, M.A.",The future of employment: How susceptible are jobs to computerisation?,Technological Forecasting and Social Change,,,10.1016/j.techfore.2016.08.019,,,2017,2022-10-31 13:48:15,2022-10-31 13:51:06,,254–280,,,114,,,,,,,,,,english,,,,,,,4758 citations (Semantic Scholar/DOI) [2022-10-31] 2082 citations (Crossref) [2022-10-31] Citation Key: frey2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758,2082,[34]
VI9IACJQ,journalArticle,1997,"Garud, R.","On the distinction between know-how, KnowWhat, and know-why",Advances in Strategic Management,,,,,,1997,2022-10-31 13:48:15,2022-10-31 13:49:10,,81–102,,,14,,,,,,,,,,english,,,,,,,Citation Key: garud1997a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[35]
A2XKESC7,journalArticle,2017,"Gershgorn, D.",The data that transformed AI research— and possibly the world,Quartz,,,,,,2017,2022-10-31 13:48:15,2022-10-31 13:49:09,,,,ttps://qz.com/1034972/thedata-that-changed-the-direction-of-ai-research-and-possibly-theworld/),,,,,,,,,,,english,,,,,,,Citation Key: gershgorn2017a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[36]
67MH9MY3,book,2013,"Gitelman, L.",Raw data” is an oxymoron,,,,,,,2013,2022-10-31 13:48:15,2022-10-31 13:48:15,,,,,,,,,,,,,MIT Press,"Cambridge, MA",english,,,,,,,Citation Key: gitelman2013a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[37]
NQM6L773,journalArticle,2021,"Gkeredakis, M.; Lifshitz-Assaf, H.; Barrett, M.","Crisis as opportunity, disruption and exposure: Exploring emergent responses to crisis through digital technology",Information and Organization,,,10.1016/j.infoandorg.2021.100344,,,2021,2022-10-31 13:48:15,2022-10-31 13:54:05,,,,1,31,,,,,,,,,,english,,,,,,,22 citations (Semantic Scholar/DOI) [2022-10-31] 24 citations (Crossref) [2022-10-31] Citation Key: gkeredakis2021a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,[38]
6PE5IJEP,book,1967,"Glaser, B.; Strauss, A.",Discovering grounded theory,,,,,,,1967,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,Aldine Publishing Company,Chicago,english,,,,,,,Citation Key: glaser1967a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[39]
2UIEC7XF,book,2007,"Golden-Biddle, K.; Locke, K.",Composing qualitative research,,,,,,,2007,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,SAGE Publications,"Thousand Oaks, CA",english,,,,,,,Citation Key: golden-biddle2007a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[40]
GKU67D9D,journalArticle,2019,"Grady, D.",A.I. took a test to detect lung cancer. It got an A,The New York Times,,,,,,2019,2022-10-31 13:48:16,2022-10-31 13:49:12,,,,,,,,,,,,,,,english,,,,,,,Citation Key: grady2019a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[41]
K7BWU63H,journalArticle,2018,"Guidotti, R.; Monreale, A.; Ruggieri, S.; Turini, F.; Giannotti, F.; Pedreschi, D.",A survey of methods for explaining black box models,ACM Computing Surveys,,,10.1145/3236009,,,2018,2022-10-31 13:48:16,2022-10-31 13:54:37,,,,5,51,,,,,,,,,,english,,,,,,,2143 citations (Semantic Scholar/DOI) [2022-10-31] 1076 citations (Crossref) [2022-10-31] Citation Key: guidotti2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143,1076,[42]
MZNNY8LQ,book,1995,"Hutchins, E.",Cognition in the wild,,,,,,,1995,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,MIT Press,"Cambridge, MA",english,,,,,,,Citation Key: hutchins1995a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[43]
TQSB5KID,book,1999,"Knorr Cetina, K.",Epistemic cultures. How the sciences make knowledge,,,,,,,1999,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,Harvard University Press,"Cambridge, MA",english,,,,,,,Citation Key: knorr1999a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[44]
NKBEPF7C,bookSection,2016,"Knorr Cetina, K.",What if the screens went black? The coming of software agents,Beyond interpretivism? New encounters with technology and organizations,,,,,,2016,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,Springer,Berlin,english,,,,,,,Citation Key: knorr2016a,,,,,,"Introna, L.; Kavanah, D.; Kelly, S.; Orlikowski, W.; Scott, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[45]
HUQUUXHU,journalArticle,1992,"Kogut, B.; Zander, U.","Knowledge of the firm, combinative capabilities, and the replication of technology",Organization Science,,,10.1287/orsc.3.3.383,,,1992,2022-10-31 13:48:16,2022-10-31 13:52:24,,383–397,,3,3,,,,,,,,,,english,,,,,,,9988 citations (Semantic Scholar/DOI) [2022-10-31] 7192 citations (Crossref) [2022-10-31] Citation Key: kogut1992a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9988,7192,[46]
YSGSNB5U,journalArticle,1998,"Kohavi, R.; Provost, F.",Glossary of terms,Machine Learning,,,10.1023/a:1017181826899,,,1998,2022-10-31 13:48:16,2022-10-31 13:53:22,,271–274,,,30,,,,,,,,,,english,,,,,,,1133 citations (Semantic Scholar/DOI) [2022-10-31] 495 citations (Crossref) [2022-10-31] Citation Key: kohavi1998a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,495,[47]
W6MZIQMK,book,2016,"Krig, S.","Ground truth data, content, metrics, and analysis,” chapter 7 in computer vision metrics: Survey, taxonomy, and analysis",,,,,,,2016,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,Springer International Publishing,Cham,english,,,,,,,Citation Key: krig2016a Pages: 247–271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[48]
PN6YUMHB,journalArticle,2019,"Langlotz, C.P.",Will Artificial Intelligence Replace Radiologists?,Radiology: Artificial Intelligence,,,10.1148/ryai.2019190058,,,2019,2022-10-31 13:48:16,2022-10-31 13:50:28,,190058,,3,1,,,,,,,,,,french,,,,,,,70 citations (Semantic Scholar/DOI) [2022-10-31] 51 citations (Crossref) [2022-10-31] Citation Key: langlotz2019a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,51,[49]
BHX8YATC,book,1987,"Latour, B.",Science in action: How to follow scientists and engineers through society,,,,,,,1987,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,Harvard University Press,"Cambridge, MA",english,,,,,,,Citation Key: latour1987a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[50]
DMUX5JZF,book,1988,"Lave, J.","Cognition in practice: Mind, mathematics and culture in everyday life",,,,,,,1988,2022-10-31 13:48:16,2022-10-31 13:48:16,,,,,,,,,,,,,Cambridge University Press,"Cambridge, UK",english,,,,,,,Citation Key: lave1988a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[51]
